InputGrid,Grid,Ns,Nt,Nsteps,Trial,Method,Seconds,Status,Message
Hard C,41 x 21,41,21,10,3,Transfinite total,0.0139590416666667,ok,
Hard C,41 x 21,41,21,10,3,gridGenerator total,0.726923916666667,ok,
Hard C,41 x 21,41,21,10,4,Input grid_fun call,0.00246854166666667,ok,
Hard C,41 x 21,41,21,10,4,Transfinite interpolation only,0.00310645833333333,ok,
Hard C,41 x 21,41,21,10,4,Transfinite total,0.005575,ok,
Hard C,41 x 21,41,21,10,4,gridGenerator total,0.922193041666667,ok,
Hard C,41 x 21,41,21,10,5,Input grid_fun call,0.00376283333333333,ok,
Hard C,41 x 21,41,21,10,5,Transfinite interpolation only,0.006968,ok,
Hard C,41 x 21,41,21,10,5,Transfinite total,0.0107308333333333,ok,
Hard C,41 x 21,41,21,10,5,gridGenerator total,1.01124291666667,ok,
Swan,21 x 21,21,21,10,1,Input grid_fun call,0.0100734583333333,ok,
Swan,21 x 21,21,21,10,1,Transfinite interpolation only,0.00215375,ok,
Swan,21 x 21,21,21,10,1,Transfinite total,0.0122272083333333,ok,
Swan,21 x 21,21,21,10,1,gridGenerator total,0.782239958333333,ok,
Swan,21 x 21,21,21,10,2,Input grid_fun call,0.00242566666666667,ok,
Swan,21 x 21,21,21,10,2,Transfinite interpolation only,0.00194375,ok,
Swan,21 x 21,21,21,10,2,Transfinite total,0.00436941666666667,ok,
Swan,21 x 21,21,21,10,2,gridGenerator total,0.638184916666667,ok,
Swan,21 x 21,21,21,10,3,Input grid_fun call,0.00163941666666667,ok,
Swan,21 x 21,21,21,10,3,Transfinite interpolation only,0.00140445833333333,ok,
Swan,21 x 21,21,21,10,3,Transfinite total,0.003043875,ok,
Swan,21 x 21,21,21,10,3,gridGenerator total,0.68542375,ok,
Swan,21 x 21,21,21,10,4,Input grid_fun call,0.00140108333333333,ok,
Swan,21 x 21,21,21,10,4,Transfinite interpolation only,0.00073,ok,
Swan,21 x 21,21,21,10,4,Transfinite total,0.00213108333333333,ok,
